0 29.563
0.976562 3.53506
1.95312 3.97642
2.92969 3.25437
3.90625 3.93284
4.88281 3.30844
5.85938 3.68827
6.83594 3.54482
7.8125 3.71316
8.78906 3.42883
9.76562 4.51497
10.7422 3.66097
11.7188 3.94397
12.6953 3.40219
13.6719 4.35432
14.6484 3.41674
15.625 3.97934
16.6016 3.37222
17.5781 3.95158
18.5547 4.04234
19.5312 4.28317
20.5078 4.64316
21.4844 4.63085
22.4609 3.94136
23.4375 4.68558
24.4141 4.38283
25.3906 4.62533
26.3672 5.13504
27.3438 5.0219
28.3203 4.70684
29.2969 5.01241
30.2734 5.78482
31.25 5.12184
32.2266 4.80372
33.2031 5.00505
34.1797 5.57801
35.1562 5.24283
36.1328 5.58248
37.1094 5.69864
38.0859 5.4419
39.0625 6.63596
40.0391 6.77236
41.0156 6.78016
41.9922 7.29117
42.9688 7.62571
43.9453 7.39186
44.9219 8.08572
45.8984 8.72294
46.875 9.41217
47.8516 10.3798
48.8281 11.0693
49.8047 11.6836
50.7812 12.7125
51.7578 14.2182
52.7344 15.7908
53.7109 18.4613
54.6875 21.6336
55.6641 26.0547
56.6406 33.9795
57.6172 46.9377
58.5938 78.8832
59.5703 255.213
60.5469 199.306
61.5234 70.4883
62.5 42.7284
63.4766 30.0143
64.4531 24.0909
65.4297 18.9327
66.4062 16.4003
67.3828 13.8663
68.3594 12.2506
69.3359 10.6259
70.3125 9.57819
71.2891 9.05888
72.2656 8.05579
73.2422 7.48226
74.2188 6.79773
75.1953 6.67547
76.1719 5.76358
77.1484 5.43742
78.125 5.49617
79.1016 5.03747
80.0781 4.3619
81.0547 3.56651
82.0312 4.2506
83.0078 4.19416
83.9844 3.49376
84.9609 3.37559
85.9375 3.78245
86.9141 3.27223
87.8906 2.91062
88.8672 3.0679
89.8438 3.1742
90.8203 3.56059
91.7969 3.0947
92.7734 3.19696
93.75 2.47631
94.7266 2.66104
95.7031 2.15038
96.6797 2.01959
97.6562 2.59547
98.6328 2.71494
99.6094 2.14312
100.586 2.0564
101.562 2.38624
102.539 2.22603
103.516 2.19836
104.492 2.15674
105.469 2.83877
106.445 1.93329
107.422 2.871
108.398 2.18238
109.375 2.14012
110.352 2.35059
111.328 2.81395
112.305 2.54936
113.281 2.74613
114.258 3.20928
115.234 3.67146
116.211 4.36628
117.188 6.46048
118.164 9.97464
119.141 20.4314
120.117 149.876
121.094 16.2314
122.07 8.88373
123.047 6.64826
124.023 4.32643
125 3.3113
125.977 3.2815
126.953 2.4405
127.93 2.51365
128.906 2.13285
129.883 1.97561
130.859 2.34989
131.836 1.77109
132.812 1.54941
133.789 2.06553
134.766 1.47107
135.742 1.63736
136.719 2.01319
137.695 1.69179
138.672 1.09323
139.648 1.98461
140.625 1.27231
141.602 1.345
142.578 1.1234
143.555 0.695046
144.531 1.61864
145.508 0.288691
146.484 1.90549
147.461 0.615454
148.438 1.24081
149.414 0.949179
150.391 1.45552
151.367 1.49078
152.344 1.20015
153.32 1.09713
154.297 1.74114
155.273 1.38339
156.25 1.08286
157.227 0.789315
158.203 1.13195
159.18 1.45791
160.156 0.865759
161.133 1.08641
162.109 0.951929
163.086 0.654803
164.062 0.563649
165.039 1.08121
166.016 0.824915
166.992 1.58318
167.969 0.265712
168.945 0.81683
169.922 1.28104
170.898 1.00273
171.875 0.789092
172.852 1.08431
173.828 0.62139
174.805 1.10391
175.781 0.541583
176.758 0.564144
177.734 0.603537
178.711 0.726732
179.688 0.496768
180.664 0.572523
181.641 0.560092
182.617 0.910597
183.594 0.567054
184.57 0.878763
185.547 0.930834
186.523 0.528516
187.5 0.191791
188.477 0.449102
189.453 0.636878
190.43 0.52419
191.406 0.83805
