40 0.157089 0.195539
40.1 0.157089 0.115949
40.2 0.157089 0.115949
40.3 0.157089 0.115949
40.4 0.157089 0.115949
40.5 0.157089 0.115949
40.6 0.157089 0.0905856
40.7 0.157089 0.0905856
40.8 0.157089 0.0905856
40.9 0.157089 0.0905856
41 0.157089 0.0905856
41.1 0.282775 0.282775
41.2 0.282775 0.282775
41.3 0.282775 0.282775
41.4 0.282775 0.282775
41.5 0.282775 0.282775
41.6 0.282775 0.357761
41.7 0.282775 0.357761
41.8 0.282775 0.357761
41.9 0.282775 0.357761
42 0.282775 0.211092
42.1 0.282775 0.211092
42.2 0.282775 0.211092
42.3 0.282775 0.211092
42.4 0.282775 0.211092
42.5 0.282775 0.187377
42.6 0.282775 0.187377
42.7 0.282775 0.187377
42.8 0.282775 0.187377
42.9 0.282775 0.187377
43 0.59567 0.59567
43.1 0.59567 0.59567
43.2 0.59567 0.59567
43.2999 0.59567 0.59567
43.3999 0.59567 0.59567
43.4999 0.59567 0.776625
43.5999 0.59567 0.776625
43.6999 0.59567 0.776625
43.7999 0.59567 0.776625
43.8999 0.59567 0.776625
43.9999 0.59567 0.456832
44.0999 0.59567 0.456832
44.1999 0.59567 0.456832
44.2999 0.59567 0.456832
44.3999 0.59567 0.456832
44.4999 0.59567 0.501819
44.5999 0.59567 0.501819
44.6999 0.59567 0.501819
44.7999 0.59567 0.501819
44.8999 0.59567 0.501819
44.9999 1.66566 1.66566
45.0999 1.66566 1.66566
45.1999 1.66566 1.66566
45.2999 1.66566 1.66566
45.3999 1.66566 1.66566
45.4999 1.66566 2.34306
45.5999 1.66566 2.34306
45.6999 1.66566 2.34306
45.7999 1.66566 2.34306
45.8999 1.66566 1.42287
45.9999 1.66566 1.42287
46.0999 1.66566 1.42287
46.1999 1.66566 1.42287
46.2999 1.66566 1.42287
46.3999 1.66566 2.37408
46.4999 1.66566 2.37408
46.5999 1.66566 2.37408
46.6999 1.66566 2.37408
46.7999 1.66566 2.37408
46.8999 9.64975 9.64975
46.9999 9.64975 9.64975
47.0999 9.64975 9.64975
47.1999 9.64975 9.64975
47.2999 9.64975 9.64975
47.3999 9.64975 20.5066
47.4999 9.64975 20.5066
47.5999 9.64975 20.5066
47.6999 9.64975 20.5066
47.7999 9.64975 20.5066
47.8999 9.64975 33.8808
47.9999 9.64975 33.8808
48.0999 9.64975 33.8808
48.1999 9.64975 33.8808
48.2999 9.64975 33.8808
48.3999 9.64975 47.7347
48.4999 9.64975 47.7347
48.5999 9.64975 47.7347
48.6999 9.64975 47.7347
48.7999 9.64975 47.7347
48.8999 59.4503 59.4503
48.9999 59.4503 59.4503
49.0999 59.4503 59.4503
49.1999 59.4503 59.4503
49.2999 59.4503 59.4503
49.3999 59.4503 66.5192
49.4999 59.4503 66.5192
49.5999 59.4503 66.5192
49.6999 59.4503 66.5192
49.7999 59.4503 66.5192
49.8998 59.4503 67.3653
49.9998 59.4503 67.3653
50.0998 59.4503 67.3653
50.1998 59.4503 67.3653
50.2998 59.4503 62.1283
50.3998 59.4503 62.1283
50.4998 59.4503 62.1283
50.5998 59.4503 62.1283
50.6998 59.4503 62.1283
50.7998 53.306 53.306
50.8998 53.306 53.306
50.9998 53.306 53.306
51.0998 53.306 53.306
51.1998 53.306 53.306
51.2998 53.306 45.9381
51.3998 53.306 45.9381
51.4998 53.306 45.9381
51.5998 53.306 45.9381
51.6998 53.306 45.9381
51.7998 53.306 45.0358
51.8998 53.306 45.0358
51.9998 53.306 45.0358
52.0998 53.306 45.0358
52.1998 53.306 45.0358
52.2998 53.306 49.5289
52.3998 53.306 49.5289
52.4998 53.306 49.5289
52.5998 53.306 49.5289
52.6998 53.306 49.5289
52.7998 53.7711 53.7711
52.8998 53.7711 53.7711
52.9998 53.7711 53.7711
53.0998 53.7711 53.7711
53.1998 53.7711 53.7711
53.2998 53.7711 53.7926
53.3998 53.7711 53.7926
53.4998 53.7711 53.7926
53.5998 53.7711 53.7926
53.6998 53.7711 53.7926
53.7998 53.7711 48.5751
53.8998 53.7711 48.5751
53.9998 53.7711 48.5751
54.0998 53.7711 48.5751
54.1998 53.7711 39.1728
54.2998 53.7711 39.1728
54.3998 53.7711 39.1728
54.4998 53.7711 39.1728
54.5998 53.7711 39.1728
54.6998 27.7233 27.7233
54.7998 27.7233 27.7233
54.8998 27.7233 27.7233
54.9998 27.7233 27.7233
55.0998 27.7233 27.7233
55.1998 27.7233 16.5594
55.2998 27.7233 16.5594
55.3998 27.7233 16.5594
55.4998 27.7233 16.5594
55.5998 27.7233 16.5594
55.6998 27.7233 7.51665
55.7998 27.7233 7.51665
55.8998 27.7233 7.51665
55.9998 27.7233 7.51665
56.0998 27.7233 7.51665
56.1998 27.7233 1.57027
56.2998 27.7233 1.57027
56.3997 27.7233 1.57027
56.4997 27.7233 1.57027
56.5997 27.7233 1.57027
56.6997 1.4841 1.4841
56.7997 1.4841 1.4841
56.8997 1.4841 1.4841
56.9997 1.4841 1.4841
57.0997 1.4841 1.4841
57.1997 1.4841 2.05695
57.2997 1.4841 2.05695
57.3997 1.4841 2.05695
57.4997 1.4841 2.05695
57.5997 1.4841 2.05695
57.6997 1.4841 1.34538
57.7997 1.4841 1.34538
57.8997 1.4841 1.34538
57.9997 1.4841 1.34538
58.0997 1.4841 1.34538
58.1997 1.4841 0.32871
58.2997 1.4841 0.32871
58.3997 1.4841 0.32871
58.4997 1.4841 0.32871
58.5997 0.49794 0.49794
58.6997 0.49794 0.49794
58.7997 0.49794 0.49794
58.8997 0.49794 0.49794
58.9997 0.49794 0.49794
59.0997 0.49794 0.70441
59.1997 0.49794 0.70441
59.2997 0.49794 0.70441
59.3997 0.49794 0.70441
59.4997 0.49794 0.70441
59.5997 0.49794 0.488296
59.6997 0.49794 0.488296
59.7997 0.49794 0.488296
59.8997 0.49794 0.488296
59.9997 0.49794 0.488296
60.0997 0.49794 0.123209
60.1997 0.49794 0.123209
60.2997 0.49794 0.123209
60.3997 0.49794 0.123209
60.4997 0.49794 0.123209
60.5997 0.235318 0.235318
60.6997 0.235318 0.235318
60.7997 0.235318 0.235318
60.8997 0.235318 0.235318
60.9997 0.235318 0.235318
61.0997 0.235318 0.331089
61.1997 0.235318 0.331089
61.2997 0.235318 0.331089
61.3997 0.235318 0.331089
61.4997 0.235318 0.331089
61.5997 0.235318 0.233945
61.6997 0.235318 0.233945
61.7997 0.235318 0.233945
61.8997 0.235318 0.233945
61.9997 0.235318 0.233945
62.0997 0.235318 0.0601649
62.1997 0.235318 0.0601649
62.2997 0.235318 0.0601649
62.3997 0.235318 0.0601649
62.4997 0.235318 0.0601649
62.5997 0.131057 0.131057
62.6997 0.131057 0.131057
62.7997 0.131057 0.131057
62.8997 0.131057 0.131057
62.9996 0.131057 0.183467
63.0996 0.131057 0.183467
63.1996 0.131057 0.183467
63.2996 0.131057 0.183467
63.3996 0.131057 0.183467
63.4996 0.131057 0.130794
63.5996 0.131057 0.130794
63.6996 0.131057 0.130794
63.7996 0.131057 0.130794
63.8996 0.131057 0.130794
63.9996 0.131057 0.034165
64.0996 0.131057 0.034165
64.1996 0.131057 0.034165
64.2996 0.131057 0.034165
64.3996 0.131057 0.034165
64.4996 0.0807383 0.0807383
64.5996 0.0807383 0.0807383
64.6996 0.0807383 0.0807383
64.7996 0.0807383 0.0807383
64.8996 0.0807383 0.0807383
64.9996 0.0807383 0.112716
